Project,Group,Key,Issuetype,Status,Created Date,Component,Category,First Date,Closed Date,New,In Specification,Open,In Progress,In Review,Pending,Resolved,Closed,Resolution
Accounts Payable,,CCBFIAP18-2404,Story,In Review,18.10.2022 15:31:50,TBB|,,09.11.2022 21:36:19,,32044,0,51368,119677,109371,0,0,0,
Accounts Payable,,CCBFIAP18-2403,Task,Closed,18.10.2022 15:28:40,A1 - BMW AG|Future Lab|,,20.10.2022 14:52:21,18.11.2022 09:52:46,2843,8656,0,9821,0,0,22983,268161,Done
Accounts Payable,,CCBFIAP18-2402,Story,Closed,18.10.2022 11:24:09,,,18.10.2022 11:27:16,16.11.2022 16:41:14,3,0,0,3183,0,0,38890,270632,Done
Accounts Payable,,CCBFIAP18-2401,Task,Closed,18.10.2022 11:15:20,Future Lab|,,18.10.2022 11:17:11,20.12.2022 15:44:17,1,0,0,123,81863,0,9000,221729,Done
Accounts Payable,,CCBFIAP18-2400,Task,Closed,18.10.2022 10:18:48,Accounts Payable Accounting|,,18.10.2022 17:23:55,18.11.2022 08:23:03,425,0,34033,0,0,0,10066,268250,Done
Accounts Payable,,CCBFIAP18-2399,Task,Closed,18.10.2022 09:50:10,Document Management|,,19.10.2022 12:10:18,19.10.2022 12:41:14,1580,0,0,0,0,0,30,311192,Done
Accounts Payable,,CCBFIAP18-2398,Task,Closed,18.10.2022 09:04:14,Invoice Verification|,,19.10.2022 13:59:38,20.10.2022 08:03:59,1735,0,0,38,0,1045,0,310029,Done
Accounts Payable,,CCBFIAP18-2397,Task,Closed,18.10.2022 09:02:10,Invoice Verification|,,11.11.2022 08:56:54,14.12.2022 09:13:46,34554,0,39085,7192,0,0,1258,230760,Done
Accounts Payable,,CCBFIAP18-2396,Task,Closed,18.10.2022 08:51:45,Accounts Payable Accounting|,,18.10.2022 13:44:18,25.01.2023 19:35:50,292,0,0,21769,0,0,121142,169658,Done
Accounts Payable,,CCBFIAP18-2395,Task,Pending,18.10.2022 08:06:29,Invoice Verification|UH - BMW Manufacturing Hungary|,,02.11.2022 16:28:04,,22101,0,0,3,0,290802,0,0,
Accounts Payable,,CCBFIAP18-2394,Task,Resolved,17.10.2022 16:22:47,Document Management|,,01.03.2023 11:11:54,23.03.2023 17:56:47,194089,0,32084,0,0,0,87677,0,Done
Accounts Payable,,CCBFIAP18-2393,Task,Resolved,17.10.2022 16:03:56,Invoice Verification|,,17.10.2022 16:09:44,19.10.2022 13:22:49,5,0,0,2713,0,0,311151,0,Done
Accounts Payable,,CCBFIAP18-2392,Task,Closed,17.10.2022 15:00:41,Accounts Payable Accounting|,,17.10.2022 17:28:56,23.01.2023 12:02:46,148,0,0,0,0,0,140793,172991,Done
Accounts Payable,,CCBFIAP18-2391,Task,In Progress,17.10.2022 14:19:22,Accounts Payable Accounting|TBB|,,17.10.2022 14:20:01,,0,54474,0,178856,0,80642,0,0,
Accounts Payable,,CCBFIAP18-2390,Task,Closed,17.10.2022 14:01:24,Accounts Payable Accounting|,,17.10.2022 14:08:00,24.11.2022 13:47:51,6,1589,53109,0,0,0,0,259286,Done
Accounts Payable,,CCBFIAP18-2389,Task,Closed,17.10.2022 13:37:19,Invoice Verification|,,18.10.2022 08:46:44,10.11.2022 10:27:14,1149,0,0,0,0,1743,31476,279646,Done
Accounts Payable,,CCBFIAP18-2388,Task,Open,17.10.2022 13:32:26,Invoice Verification|,,02.03.2023 14:49:12,,195916,0,118104,0,0,0,0,0,
Accounts Payable,,CCBFIAP18-2387,Task,Closed,17.10.2022 13:26:14,A1 - BMW AG|Invoice Verification|,,17.10.2022 13:27:01,17.10.2022 13:32:53,0,5,0,0,0,0,0,314020,Rejected
Accounts Payable,,CCBFIAP18-2386,Story,In Specification,17.10.2022 10:21:17,B1 - BMW Bank GmbH - DE|Document Management|,,17.10.2022 10:42:13,,20,314191,0,0,0,0,0,0,
Accounts Payable,,CCBFIAP18-2385,Task,Closed,17.10.2022 09:54:02,Accounts Payable Accounting|TBB|,,17.10.2022 14:08:08,09.11.2022 13:51:53,254,33103,0,0,0,0,0,280881,Done
Accounts Payable,,CCBFIAP18-2384,Task,Resolved,17.10.2022 09:25:56,Accounts Payable Accounting|,,20.04.2023 09:14:10,20.04.2023 09:14:10,266388,0,0,0,0,0,47879,0,Won't Do
Accounts Payable,,CCBFIAP18-2383,Task,In Specification,17.10.2022 09:24:23,Accounts Payable Accounting|,,18.10.2022 16:45:03,,1880,312388,0,0,0,0,0,0,
Accounts Payable,,CCBFIAP18-2382,Task,Resolved,17.10.2022 09:22:51,Accounts Payable Accounting|,,18.10.2022 16:44:38,20.04.2023 09:13:12,1881,264508,0,0,0,0,47880,0,Done
Accounts Payable,,CCBFIAP18-2381,Task,New,17.10.2022 09:21:13,Accounts Payable Accounting|,,17.10.2022 14:08:40,,314271,0,0,0,0,0,0,0,
Accounts Payable,,CCBFIAP18-2380,Task,Closed,17.10.2022 09:20:59,Invoice Verification|,,21.10.2022 11:18:55,10.11.2022 10:26:22,5877,0,0,0,0,0,28746,279647,Done
Accounts Payable,,CCBFIAP18-2379,Task,Resolved,17.10.2022 09:19:05,Accounts Payable Accounting|,,17.10.2022 14:08:22,20.04.2023 09:12:24,289,266104,0,0,0,0,47881,0,Done
Accounts Payable,,CCBFIAP18-2378,Task,Resolved,17.10.2022 09:16:20,Accounts Payable Accounting|,,17.10.2022 14:08:15,13.01.2023 13:47:29,291,126698,0,0,0,0,187286,0,Done
Accounts Payable,,CCBFIAP18-2377,Task,Pending,17.10.2022 09:13:07,Invoice Verification|,,18.10.2022 09:00:10,,1427,0,0,0,0,312853,0,0,
Accounts Payable,,CCBFIAP18-2376,Task,Closed,17.10.2022 09:09:56,Accounts Payable Accounting|,,17.10.2022 14:08:18,11.04.2023 17:11:52,298,191561,0,62062,0,0,0,60361,Done
Accounts Payable,,CCBFIAP18-2375,Task,In Specification,17.10.2022 09:06:53,Accounts Payable Accounting|,,18.10.2022 16:38:25,,1891,312390,3,0,0,0,0,0,
Accounts Payable,,CCBFIAP18-2374,Task,In Progress,17.10.2022 09:05:04,Accounts Payable Accounting|,,18.10.2022 16:36:12,,1891,0,133539,178857,0,0,0,0,
Accounts Payable,,CCBFIAP18-2373,Task,In Specification,17.10.2022 09:03:43,Accounts Payable Accounting|,,19.01.2023 10:15:48,,135432,178858,0,0,0,0,0,0,
Accounts Payable,,CCBFIAP18-2372,Task,Closed,14.10.2022 13:34:12,Invoice Verification|,,18.10.2022 08:47:14,18.10.2022 09:17:06,5473,0,0,0,0,5,23,312836,Done
