,Project,Group,Key,Issuetype,Status,Created Date,Component,Category,First Date,Closed Date,Funnel,In Analysis,Backlog,In Implementation,Blocker,Completed,Monitoring,Done,Resolution 
349,The APP ART,,THEAPP-1509,Feature,Funnel,14.01.2022 14:21:04,VICI|,,,,423384,0,0,0,0,0,0, ,
350,The APP ART,,THEAPP-1508,Feature,Completed,14.01.2022 13:44:48,Android|C3PO|iOS|Mario|,,11.04.2022 15:15:06,19.10.2022 17:13:09,0,178416,222111,0,0,22892,0,0, 
351,The APP ART,,THEAPP-1507,Feature,Blocker,14.01.2022 13:33:44,VICI|,,09.03.2022 15:52:06,,0,138154,78101,116427,90748,0,0,0, 
352,The APP ART,,THEAPP-1506,Feature,In Implementation,13.01.2022 15:36:05,Stromberg|,,20.01.2022 13:17:43,,0,18859,300545,105343,0,0,0,0, 
353,The APP ART,,THEAPP-1505,Feature,Done,13.01.2022 12:15:12,Android|App ART Funnel|Backend|Design|iOS|,,30.05.2022 13:43:33,30.05.2022 13:43:33,0,197368,0,0,0,0,0,227581,Duplicate 
354,The APP ART,,THEAPP-1504,Feature,Done,13.01.2022 08:32:54,C3PO|Pikachu|,,18.02.2022 14:57:31,03.05.2022 13:41:43,0,52224,106484,0,0,0,0,266463,Done 
355,The APP ART,,THEAPP-1503,Feature,In Implementation,13.01.2022 03:59:05,Bullitt|,,19.01.2022 09:23:16,,0,56577,102405,266463,0,0,0,0, 
356,The APP ART,,THEAPP-1502,Feature,In Implementation,13.01.2022 03:47:49,Bullitt|,,13.01.2022 17:12:20,,0,56587,102407,266462,0,0,0,0, 
357,The APP ART,,THEAPP-1501,Feature,Funnel,13.01.2022 03:00:32,Bullitt|,,19.01.2022 09:23:28,,114922,310581,0,0,0,0,0,0, 
358,The APP ART,,THEAPP-1500,Feature,Done,13.01.2022 02:32:14,Bullitt|,,19.01.2022 09:23:43,18.08.2022 21:34:15,0,56661,41924,215035,0,0,0,111911,Won't Do 
359,The APP ART,,THEAPP-1499,Feature,Done,13.01.2022 02:24:18,Bullitt|,,19.01.2022 09:23:51,20.09.2022 11:08:06,0,56670,41923,261929,0,0,0,65017,Done 
360,The APP ART,,THEAPP-1498,Feature,In Implementation,13.01.2022 02:18:43,Bullitt|,,19.01.2022 09:24:10,,0,56676,41923,326946,0,0,0,0, 
361,The APP ART,,THEAPP-1497,Feature,Blocker,13.01.2022 02:06:54,Bullitt|,,19.01.2022 09:23:36,30.09.2022 11:43:34,0,56686,41924,261962,64983,0,0,0,Done 
362,The APP ART,,THEAPP-1496,Feature,Blocker,13.01.2022 01:54:16,Bullitt|,,19.01.2022 09:22:38,30.09.2022 11:43:41,0,56699,41924,261962,64983,0,0,0,Done 
363,The APP ART,,THEAPP-1495,Feature,Blocker,12.01.2022 23:54:57,Bullitt|,,13.01.2022 17:12:25,30.09.2022 11:43:51,0,56817,72817,231069,64983,0,0,0,Done 
364,The APP ART,,THEAPP-1493,Feature,E2E Test,12.01.2022 21:58:27,Bullitt|,,19.01.2022 09:19:44,,0,56933,41927,326944,0,0,0,0, 
365,The APP ART,,THEAPP-1491,Feature,Funnel,11.01.2022 14:00:40,BOND|VICI|,,30.06.2022 10:50:45,,83708,344015,0,0,0,0,0,0, 
366,The APP ART,,THEAPP-1490,Feature,Funnel,22.12.2021 14:54:30,BOND|,,,,456470,0,0,0,0,0,0, ,
367,The APP ART,,THEAPP-1484,Feature,Done,21.12.2021 10:12:59,SPECTRE|,,13.01.2022 12:33:32,03.05.2022 13:36:54,0,33260,57590,100871,0,0,0,266468,Done 
368,The APP ART,,THEAPP-1481,Feature,Done,15.12.2021 16:22:01,Android|iOS|,,18.05.2022 15:41:54,18.05.2022 15:41:54,0,221719,0,0,0,0,0,244743,Won't Do 
369,The APP ART,,THEAPP-1480,Feature,Backlog,15.12.2021 10:22:51,Android|App ART Funnel|BOND|iOS|P&S|,,19.05.2022 09:13:33,,0,262500,204320,0,0,0,0,0, 
370,The APP ART,,THEAPP-1478,Feature,Done,13.12.2021 14:36:35,Skywalker|,,01.02.2022 21:10:25,31.08.2022 10:02:06,0,72393,251574,51597,0,0,0,93883,Won't Do 
371,The APP ART,,THEAPP-1477,Feature,In Implementation,13.12.2021 14:25:17,Stark|,,13.01.2022 12:33:56,05.08.2022 09:29:16,0,63051,130026,270738,0,1106,0,4534, 
372,The APP ART,,THEAPP-1476,Feature,Done,13.12.2021 11:45:22,Pikachu|,,13.01.2022 12:34:12,20.10.2022 09:58:16,0,63209,49506,335015,0,0,0,21887,Done 
373,The APP ART,,THEAPP-1474,Feature,In Analysis,08.12.2021 18:18:41,App ART Funnel|,,11.04.2022 09:48:39,,0,476425,0,0,0,0,0,0, 
