,Project,Group,Key,Issuetype,Status,Created Date,Component,Category,First Date,Res,Closed Date,Funnel,In Analysis,Backlog,In Implementation,Blocker,Completed,Monitoring,Done,Resolution,CycleDays
703,The APP ART,,THEAPP-499,Feature,Done,21.01.2021 16:54,App ART Funnel|CR|Lebowski|P&S|Skywalker|,,22.01.2021 10:30,Done ,2021-11-22 18:07:00,0,17129,422143,0,0,0,0,499477,Done ,305.05
704,The APP ART,,THEAPP-498,Feature,Done,21.01.2021 16:13,App ART Funnel|CR|P&S|,,22.01.2021 10:31,Done ,2021-04-14 14:14:00,0,17167,30170,72061,0,0,0,819391,Done ,82.92
705,The APP ART,,THEAPP-497,Feature,Done,21.01.2021 14:49,CR|Lebowski|VICI|,,21.01.2021 14:49,Done ,2021-11-02 13:36:00,0,8556,300953,100817,0,0,0,528548,Done ,284.95
707,The APP ART,,THEAPP-480,Feature,Done,12.01.2021 18:13,App ART Funnel|P&S|Release 1.0|Release 2.0|Release 3.0|Release 3.1|Release 4.0|,,09.02.2021 14:44,Done ,2021-05-05 15:12:00,0,40112,94684,27741,0,0,0,789092,Done ,112.87
708,The APP ART,,THEAPP-478,Feature,Done,17.12.2020 11:05,App ART Funnel|P&S|Release 3.0|Release 3.1|,,20.01.2021 15:47,Done ,2021-10-06 15:22:00,0,282602,0,139573,0,0,0,567323,Done ,293.18
710,The APP ART,,THEAPP-470,Feature,Done,07.12.2020 15:07,CR|P&S|,,09.12.2020 09:55,Done ,2021-05-06 19:04:00,0,2567,0,213668,0,0,0,787420,Done ,150.16
712,The APP ART,,THEAPP-468,Feature,Done,07.12.2020 13:52,CR|Lebowski|VICI|,,14.01.2021 12:22,Done ,2021-11-02 13:36:00,0,73413,300952,100816,0,0,0,528549,Done ,329.99
717,The APP ART,,THEAPP-462,Feature,Done,03.12.2020 18:28,Lebowski|P&S|Release 3.0|Release 3.1|Skywalker|,,20.01.2021 15:32,Done ,2022-07-12 10:14:00,116992,284462,119403,322484,0,0,0,165871,Done ,504.41
718,The APP ART,,THEAPP-461,Feature,Done,03.12.2020 14:50,P&S|Release 1.0|Release 2.0|Release 3.0|,,15.12.2020 13:35,Done ,2021-08-24 12:58:00,0,17204,50210,312631,0,0,0,629387,Done ,263.92
719,The APP ART,,THEAPP-460,Feature,Done,03.12.2020 14:15,App ART Funnel|P&S|Release 3.1|Release 4.0|,,20.01.2021 15:14,Done ,2021-04-22 14:37:00,0,110666,10406,70698,9848,0,0,807848,Done ,140.01
720,The APP ART,,THEAPP-457,Feature,Done,20.11.2020 17:16,CR|,,20.11.2020 17:19,Done ,2021-02-08 09:48:00,0,3,17117,97631,0,0,0,913256,Done ,79.69
721,The APP ART,,THEAPP-455,Feature,Done,19.11.2020 17:16,P&S|Release 1.0|Release 2.0|Release 3.0|,,19.11.2020 19:08,Done ,2021-05-05 15:08:00,0,112,86215,154023,0,0,0,789097,Done ,166.91
722,The APP ART,,THEAPP-454,Feature,Done,19.11.2020 16:19,CR|P&S|,,23.11.2020 12:17,Done ,2020-12-14 15:47:00,0,6963,19044,9958,0,0,0,993538,Done ,24.98
725,The APP ART,,THEAPP-451,Feature,Done,17.11.2020 15:17,App ART Funnel|Backend|CR|VICI|,,27.01.2021 13:27,Done ,2021-10-06 16:20:00,0,223353,58762,142750,40314,0,0,567265,Done ,323.04
728,The APP ART,,THEAPP-448,Feature,Done,17.11.2020 09:29,App ART Funnel|P&S|Release 3.1|,,10.02.2021 17:55,Done ,2021-09-09 10:17:00,0,184474,28895,212918,0,0,0,606507,Done ,296.03
735,The APP ART,,THEAPP-441,Feature,Completed,17.11.2020 09:04,App ART Funnel|P&S|Release 3.1|Release 3.2|Release 4.0|Stromberg|,,21.07.2021 13:33,Done ,2021-12-14 10:28:00,0,354508,89174,116400,75,468256,0,4401,Done ,389.0
737,The APP ART,,THEAPP-438,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 19:20,Done ,2021-04-23 10:12:00,0,123793,0,103132,0,0,0,806672,Done ,157.59
744,The APP ART,,THEAPP-431,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 18:45,Done ,2021-04-23 10:10:00,0,123758,0,103164,0,0,0,806674,Done ,157.58
745,The APP ART,,THEAPP-430,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 18:45,Done ,2021-04-23 10:11:00,0,123758,0,103166,0,0,0,806673,Done ,157.59
749,The APP ART,,THEAPP-426,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 19:10,Done ,2021-02-10 19:10:00,0,123783,0,0,0,0,0,909814,Done ,85.96
