,Project,Group,Key,Issuetype,Status,Created Date,Component,Category,First Date,Closed Date,Funnel,In Analysis,Backlog,In Implementation,Blocker,Completed,Monitoring,Done,Resolution ,CycleDays
380,The APP ART,,THEAPP-1467,Feature,Done,02.12.2021 12:14:31,App ART Funnel|BOND|P&S|,,31.03.2022 08:47:36,18.10.2022 19:05:57,0,358448,21533,31579,49454,193,0,24219,Done ,320.15
382,The APP ART,,THEAPP-1464,Feature,Funnel,30.11.2021 09:46:15,Android|App ART Funnel|Backend|Design|iOS|,,31.01.2022 15:14:24,31.01.2022 15:14:24,266570,89608,0,0,0,0,0,132280,Done ,62.23
384,The APP ART,,THEAPP-1461,Feature,Done,29.11.2021 14:08:28,BOND|Design|Release 1.0|Release 2.0|Release 3.0|Release 3.1|,,12.10.2022 09:22:37,12.10.2022 09:22:37,0,456194,0,0,0,0,0,33442,Won't Do ,316.8
385,The APP ART,,THEAPP-1460,Feature,Done,26.11.2021 15:33:12,2022|Android|App ART Funnel|Backend|Design|iOS|P&S|Release 2.0|Release 3.0|Release 3.1|Skywalker|Stark|,,27.01.2022 09:33:12,05.08.2022 22:32:30,0,146586,0,185215,31494,0,0,130572,Done ,252.29
388,The APP ART,,THEAPP-1456,Feature,Done,23.11.2021 16:40:58,,,18.05.2022 15:31:44,18.05.2022 15:31:44,0,253370,0,0,0,0,0,244753,Fixed ,175.95
389,The APP ART,,THEAPP-1454,Feature,Done,22.11.2021 16:21:05,iOS|Lebowski|Mario|,,15.12.2021 16:41:50,02.08.2022 17:05:51,0,133610,150133,58544,22075,0,0,135219,Won't Do ,253.03
391,The APP ART,,THEAPP-1451,Feature,Done,19.11.2021 14:09:23,Lebowski|Skywalker|,,09.12.2021 08:17:39,26.08.2022 13:37:55,244938,158230,0,0,0,0,0,100867,Won't Do ,109.88
394,The APP ART,,THEAPP-1448,Feature,Done,17.11.2021 08:43:19,Greatwall|Lebowski|,,04.07.2022 13:51:12,04.07.2022 13:51:12,0,330067,0,0,0,0,0,177174,Done ,229.21
395,The APP ART,,THEAPP-1447,Feature,Done,17.11.2021 08:37:18,Greatwall|VICI|,,11.07.2022 14:05:18,11.07.2022 14:05:18,0,340168,0,0,0,0,0,167080,Done ,236.23
396,The APP ART,,THEAPP-1445,Feature,Completed,15.11.2021 19:16:38,Griffin|,,18.01.2022 08:59:42,19.10.2022 15:26:50,0,91543,345519,49427,0,22998,0,0, ,337.84
397,The APP ART,,THEAPP-1444,Feature,Done,15.11.2021 16:03:22,,,02.05.2022 16:14:20,02.05.2022 16:14:20,0,241930,0,0,0,0,0,267750,Duplicate ,168.01
399,The APP ART,,THEAPP-1440,Feature,Done,09.11.2021 14:57:31,2022|App ART Funnel|VICI|,,10.11.2021 11:27:42,14.12.2021 11:42:47,0,50205,0,0,0,0,0,468182,Won't Do ,34.86
402,The APP ART,,THEAPP-1436,Feature,Done,05.11.2021 15:04:41,BOND|,,26.11.2021 17:28:42,18.10.2022 11:42:47,0,97527,59102,342847,0,0,0,24662,Done ,346.86
403,The APP ART,,THEAPP-1435,Feature,Completed,05.11.2021 14:09:28,Griffin|,,09.11.2021 14:37:09,26.07.2022 14:52:31,0,10090,267777,67578,33314,145432,0,0, ,263.03
404,The APP ART,,THEAPP-1427,Feature,Done,04.11.2021 15:24:46,Griffin|Pikachu|Stromberg|,,13.04.2022 11:24:52,19.04.2022 16:22:39,0,239097,0,0,0,0,0,286462,Won't Do ,166.04
406,The APP ART,,THEAPP-1419,Feature,Completed,03.11.2021 16:38:15,Stark|,,10.11.2021 11:29:33,25.01.2022 13:10:13,0,51742,7062,60506,0,407615,0,0, ,82.85
407,The APP ART,,THEAPP-1417,Feature,Done,29.10.2021 09:32:10,VICI|,,28.01.2022 11:22:00,28.01.2022 11:22:00,0,131149,0,0,0,0,0,403403,Duplicate ,91.08
408,The APP ART,,THEAPP-1416,Feature,Done,29.10.2021 09:31:30,VICI|,,28.01.2022 11:21:14,28.01.2022 11:21:14,0,131149,0,0,0,0,0,403404,Duplicate ,91.08
410,The APP ART,,THEAPP-1414,Feature,Done,27.10.2021 20:20:40,App ART Funnel|P&S|Release 2.0|Release 3.0|Release 3.1|Release 3.2|Release 4.0|Skywalker|,,27.10.2021 20:22:08,13.07.2022 11:26:02,0,1,349455,22967,0,0,0,164359,Done ,258.63
411,The APP ART,,THEAPP-1406,Feature,Done,25.10.2021 07:36:29,Greatwall|,,28.10.2021 17:28:56,14.12.2021 13:25:27,0,4912,27105,40330,0,0,0,468079,Done ,50.24
412,The APP ART,,THEAPP-1405,Feature,Done,25.10.2021 05:06:32,Backend|Greatwall|,,28.10.2021 17:28:23,14.12.2021 13:25:37,0,5061,27106,40330,0,0,0,468079,Done ,50.35
413,The APP ART,,THEAPP-1404,Feature,Done,25.10.2021 04:52:40,Backend|Greatwall|,,28.10.2021 17:27:01,15.12.2021 04:37:40,0,5074,27107,41242,0,0,0,467167,Done ,50.99
414,The APP ART,,THEAPP-1403,Feature,Done,25.10.2021 04:46:37,Backend|Greatwall|,,28.10.2021 17:26:36,14.12.2021 13:25:50,0,5079,27108,40330,0,0,0,468079,Done ,50.36
420,The APP ART,,THEAPP-1392,Feature,Done,19.10.2021 17:42:44,Greatwall|Release 4.0|,,12.04.2022 14:31:44,09.05.2022 22:32:45,0,291170,0,0,0,0,0,257292,Won't Do ,202.2
421,The APP ART,,THEAPP-1391,Feature,Done,19.10.2021 17:37:57,Greatwall|Release 4.0|,,11.04.2022 10:03:45,10.05.2022 13:27:35,24,290360,0,0,1684,0,0,256397,Won't Do ,202.81
422,The APP ART,,THEAPP-1390,Feature,Done,19.10.2021 17:33:02,Greatwall|Release 4.0|,,06.04.2022 10:35:32,06.04.2022 10:35:32,0,242942,0,0,0,0,0,305529,Won't Do ,168.71
425,The APP ART,,THEAPP-1387,Feature,Done,19.10.2021 11:42:43,Android|App ART Funnel|Backend|Design|iOS|Skywalker|,,11.04.2022 15:16:23,15.06.2022 17:53:57,81041,263489,0,0,0,0,0,204291,Won't Do ,182.98
426,The APP ART,,THEAPP-1386,Feature,Done,18.10.2021 14:54:39,App ART Funnel|P&S|Release 3.0|Release 3.1|Stromberg|,,28.10.2021 17:24:41,28.10.2021 17:24:41,90463,14550,80617,95721,0,0,0,268716,Done ,132.56
427,The APP ART,,THEAPP-1385,Feature,Done,18.10.2021 14:53:15,Lebowski|P&S|Release 2.0|Release 3.1|,,18.10.2021 14:55:59,19.07.2022 10:52:36,0,2,253530,38906,0,101879,0,155752,Done ,203.08
432,The APP ART,,THEAPP-1376,Feature,Done,14.10.2021 12:37:45,Lebowski|P&S|Release 3.0|Release 3.1|,,14.10.2021 12:38:11,19.07.2022 10:52:41,0,0,152446,150029,0,97737,0,155752,Done ,210.05
433,The APP ART,,THEAPP-1375,Feature,Done,14.10.2021 12:35:13,Lebowski|P&S|Release 3.0|Release 3.1|Skywalker|,,14.10.2021 12:37:58,19.07.2022 10:52:47,0,2,67611,234864,0,97738,0,155752,Done ,210.05
435,The APP ART,,THEAPP-1373,Feature,Done,14.10.2021 10:51:30,App ART Funnel|,,16.03.2022 07:50:18,16.03.2022 07:50:18,0,220138,0,0,0,0,0,335935,Won't Do ,152.87
438,The APP ART,,THEAPP-1370,Feature,Done,14.10.2021 09:39:13,Android|App ART Funnel|C3PO|iOS|Release 2.0|Release 3.0|Release 3.1|Release 3.2|Release 4.0|,,13.04.2022 11:57:19,06.05.2022 09:48:25,0,293769,0,0,0,0,0,262376,Won't Do ,204.01
440,The APP ART,,THEAPP-1367,Feature,Done,12.10.2021 20:10:36,2022|CR|Mario|P&S|,,14.10.2021 20:21:56,03.05.2022 13:40:23,0,39980,200456,51492,0,0,0,266464,Done ,202.73
441,The APP ART,,THEAPP-1366,Feature,Completed,11.10.2021 13:07:40,Android|App ART Funnel|C3PO|iOS|,,14.04.2022 09:10:20,19.10.2022 17:08:46,0,266162,0,271198,0,22896,0,0, ,373.17
445,The APP ART,,THEAPP-1362,Feature,Done,07.10.2021 15:29:52,Griffin|P&S|Release 2.0|Release 3.0|Release 3.1|Release 4.0|Skywalker|,,29.03.2022 07:19:57,29.03.2022 07:19:57,0,248630,0,0,0,0,0,317245,Done ,172.66
447,The APP ART,,THEAPP-1359,Feature,Done,06.10.2021 11:33:04,App ART Funnel|Release 3.0|Release 3.1|Stromberg|,,27.01.2022 21:16:21,27.01.2022 21:16:21,0,163303,0,0,0,0,0,404248,Won't Do ,113.4
448,The APP ART,,THEAPP-1357,Feature,Done,05.10.2021 16:05:27,App ART Funnel|P&S|Release 3.0|Release 3.1|Skywalker|,,06.10.2021 11:43:17,14.12.2021 13:21:24,0,1177,59121,40335,0,0,0,468083,Done ,69.88
451,The APP ART,,THEAPP-1350,Feature,Completed,05.10.2021 14:08:59,Android|App ART Funnel|C3PO|iOS|,,14.04.2022 09:16:53,19.10.2022 17:11:42,0,316599,0,229341,0,22893,0,0, ,379.12
452,The APP ART,,THEAPP-1347,Feature,Completed,05.10.2021 14:07:31,Android|App ART Funnel|C3PO|iOS|,,22.03.2022 13:40:45,19.10.2022 17:12:24,0,241893,0,304050,0,22892,0,0, ,379.13
453,The APP ART,,THEAPP-1341,Feature,Done,05.10.2021 14:00:33,Android|App ART Funnel|C3PO|iOS|,,22.03.2022 13:40:34,13.05.2022 10:55:14,0,241900,0,74714,0,0,0,252230,Done ,219.87
454,The APP ART,,THEAPP-1340,Feature,Done,05.10.2021 13:13:57,Griffin|,,07.10.2021 09:17:20,05.04.2022 11:37:26,0,10333,202534,49113,0,0,0,306907,Done ,181.93
456,The APP ART,,THEAPP-1338,Feature,Done,04.10.2021 10:39:35,Callahan|P&S|Stromberg|,,04.10.2021 18:20:00,04.10.2021 18:20:00,0,460,0,0,0,0,0,570025,Duplicate ,0.32
