,Project,Group,Key,Issuetype,Status,Created Date,Component,Category,First Date,Res,Closed Date,Funnel,In Analysis,Backlog,In Implementation,Blocker,Completed,Monitoring,Done,Resolution
583,The APP ART,,THEAPP-1159,Feature,Done,29.06.2021 07:36,App ART Funnel|Greatwall|Griffin|Lebowski|,,23.07.2021 12:37,Done ,26.11.2021 12:37,0,34860,55014,126425,0,0,0,494048,Done 
592,The APP ART,,THEAPP-1142,Feature,Done,16.06.2021 09:35,Android|App ART Funnel|Backend|iOS|Mario|P&S|Release 3.0|Release 3.1|Release 3.2|Release 4.0|,,25.05.2022 10:46,Done ,25.05.2022 10:46,0,493990,0,0,0,0,0,234959,Done 
593,The APP ART,,THEAPP-1140,Feature,Done,15.06.2021 11:30,Android|App ART Funnel|Backend|Griffin|iOS|Lebowski|P&S|VICI|,,23.06.2021 15:39,Done ,30.11.2021 13:08,0,30669,90380,120967,0,0,0,488256,Done 
595,The APP ART,,THEAPP-1136,Feature,Completed,09.06.2021 11:32,App ART Funnel|Griffin|P&S|Release 3.0|Release 3.1|Stromberg|,,21.07.2021 13:53,Done ,12.01.2022 17:18,0,69691,67198,102652,0,426086,0,73278,Done 
596,The APP ART,,THEAPP-1135,Feature,Done,08.06.2021 10:47,App ART Funnel|CR|Lebowski|P&S|VICI|,,23.09.2021 16:19,Done ,18.03.2022 15:33,0,191027,37921,178854,0,0,0,332591,Done 
601,The APP ART,,THEAPP-1126,Feature,Done,26.05.2021 18:14,Android|App ART Funnel|Backend|iOS|Release 3.1|Stark|,,04.08.2021 15:48,Done ,17.03.2022 16:47,0,100654,149431,154283,20342,0,0,333957,Done 
603,The APP ART,,THEAPP-1122,Feature,Done,20.05.2021 11:29,Greatwall|Griffin|P&S|,,30.06.2021 15:37,Done ,09.02.2022 12:57,0,190342,70408,120936,0,0,0,386027,Done 
609,The APP ART,,THEAPP-1114,Feature,Done,17.05.2021 15:05,P&S|Skywalker|,,17.05.2021 15:44,Done ,29.09.2021 14:15,0,64533,57496,65061,0,7256,0,577470,Done 
610,The APP ART,,THEAPP-1111,Feature,Done,11.05.2021 16:55,App ART Funnel|P&S|Release 2.0|Release 3.0|Release 3.1|Release 3.2|Release 4.0|Skywalker|,,08.10.2021 16:49,Done ,18.07.2022 10:48,0,220304,378701,24146,0,0,0,157196,Done 
611,The APP ART,,THEAPP-1110,Feature,Done,11.05.2021 16:27,Greatwall|Griffin|P&S|,,18.05.2021 12:06,Done ,19.10.2021 13:05,0,9819,80725,141092,0,0,0,548740,Done 
613,The APP ART,,THEAPP-1101,Feature,Done,07.05.2021 15:57,Stark|,,30.06.2021 14:27,Done ,01.08.2022 12:31,0,77670,461978,109583,0,0,0,136934,Done 
626,The APP ART,,THEAPP-1072,Feature,Done,06.05.2021 14:14,Pikachu|Release 3.0|Release 3.1|Release 4.0|,,31.01.2022 13:26,Done ,31.01.2022 13:26,0,388751,0,0,0,0,0,398958,Done 
629,The APP ART,,THEAPP-1035,Feature,Done,05.05.2021 13:51,CR|Lebowski|P&S|,,30.06.2021 15:45,Done ,12.10.2021 18:59,0,92035,122266,16404,0,0,0,558465,Done 
632,The APP ART,,THEAPP-1032,Feature,Done,05.05.2021 08:49,App ART Funnel|CR|P&S|Release 1.0|Release 2.0|Release 3.0|Release 3.1|Release 3.2|Release 4.0|,,05.05.2021 14:26,Done ,15.07.2021 14:12,0,337,79090,23135,0,0,0,686912,Done 
638,The APP ART,,THEAPP-914,Feature,Done,29.04.2021 15:56,Griffin|Mario|P&S|,,29.04.2021 16:02,Done ,12.10.2021 16:07,0,5,148159,90884,0,0,0,558638,Done 
639,The APP ART,,THEAPP-907,Feature,Done,29.04.2021 09:14,App ART Funnel|Greatwall|P&S|Release 3.0|Release 3.1|,,19.05.2021 15:16,Done ,25.03.2022 02:57,81874,89680,258857,44118,291,0,0,323267,Done 
640,The APP ART,,THEAPP-890,Feature,Done,28.04.2021 17:06,App ART Funnel|Backend|P&S|Release 3.1|Release 3.2|,,05.05.2021 15:38,Done ,29.09.2021 10:40,0,9992,77528,133853,0,0,0,577684,Done 
642,The APP ART,,THEAPP-853,Feature,Done,27.04.2021 11:33,App ART Funnel|Griffin|P&S|Release 3.0|Release 3.1|Skywalker|,,27.04.2021 11:35,Done ,24.08.2021 12:57,0,29032,71724,70685,0,0,0,629388,Done 
644,The APP ART,,THEAPP-784,Feature,Done,23.04.2021 17:03,,,10.05.2021 15:29,Done ,10.05.2021 15:29,0,24385,0,0,0,0,0,781876,Done 
646,The APP ART,,THEAPP-764,Feature,Done,23.04.2021 10:56,CR|VICI|,,23.04.2021 10:57,Done ,27.07.2021 13:33,0,0,66869,70086,0,0,0,669671,Done 
648,The APP ART,,THEAPP-758,Feature,Done,22.04.2021 15:15,App ART Funnel|CR|Lebowski|P&S|VICI|,,23.04.2021 08:34,Done ,05.10.2021 13:16,0,1039,157131,141217,0,0,0,508419,Done 
650,The APP ART,,THEAPP-756,Feature,Done,22.04.2021 14:19,CR|P&S|,,22.04.2021 16:33,Done ,08.07.2021 16:55,0,1181,56245,42033,11572,0,0,696829,Done 
651,The APP ART,,THEAPP-755,Feature,Done,22.04.2021 13:43,App ART Funnel|CR|P&S|VICI|,,22.04.2021 14:27,Done ,24.08.2021 07:51,2,44,68096,110064,0,0,0,629693,Done 
652,The APP ART,,THEAPP-754,Feature,Done,22.04.2021 09:48,App ART Funnel|P&S|PCS|Release 1.0|Release 2.0|Release 3.0|Release 3.1|Release 3.2|Release 4.0|,,07.05.2021 14:55,Done ,09.09.2021 10:17,0,21906,15615,164106,0,0,0,606507,Done 
654,The APP ART,,THEAPP-748,Feature,Done,21.04.2021 12:07,App ART Funnel|P&S|Release 3.0|Release 3.1|Stromberg|,,23.06.2021 15:55,Done ,31.05.2022 11:13,0,131052,103536,348557,0,0,0,226292,Done 
655,The APP ART,,THEAPP-745,Feature,Done,20.04.2021 17:41,Lebowski|P&S|Release 2.0|Release 3.1|,,30.06.2021 16:14,Done ,19.07.2022 10:52,80759,143789,97638,230723,0,101879,0,155752,Done 
656,The APP ART,,THEAPP-744,Feature,Done,19.04.2021 12:51,App ART Funnel|CR|Release 1.0|Release 2.0|Release 3.0|Release 3.1|Release 3.2|Release 4.0|,,20.04.2021 15:50,Done ,23.06.2021 20:47,0,1618,60321,32135,0,0,0,718197,Done 
663,The APP ART,,THEAPP-706,Feature,Done,15.04.2021 16:55,App ART Funnel|Griffin|Lebowski|P&S|Release 3.0|Release 3.1|,,07.05.2021 14:55,Done ,29.09.2021 10:38,0,31559,76182,93429,38930,0,0,577687,Done 
665,The APP ART,,THEAPP-704,Feature,Done,15.04.2021 09:23,Lebowski|P&S|Release 1.0|Release 2.0|Release 3.0|Release 3.1|SPECTRE|,,09.12.2021 08:17,Done ,05.08.2022 09:29,0,352736,219181,73513,40164,1288,0,131355,Done 
666,The APP ART,,THEAPP-703,Feature,Done,15.04.2021 09:17,P&S|Release 1.0|Release 2.0|Release 3.0|Release 3.1|,,19.04.2021 09:40,Done ,21.07.2021 10:07,0,8961,38668,92098,0,0,0,678518,Done 
