Project,Group,Key,Issuetype,Status,Created Date,Component,Category,First Date,Res,Closed Date,Funnel,In Analysis,Backlog,In Implementation,Blocker,Completed,Monitoring,Done,Resolution
The APP ART,,THEAPP-434,Feature,Done,16.11.2020 20:07,App ART Funnel|Griffin|P&S|Release 4.0|Stark|,,10.02.2021 19:23,Duplicate ,29.09.2021 11:12,0,123796,0,0,332148,0,0,577652,Duplicate 
The APP ART,,THEAPP-433,Feature,Done,16.11.2020 20:07,App ART Funnel|Release 4.0|,,24.11.2021 08:56,Won't Do ,24.11.2021 08:56,3607,536448,0,0,0,0,0,493540,Won't Do 
The APP ART,,THEAPP-432,Feature,E2E Test,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 18:46, ,,0,123758,0,905700,4138,0,0,0, 
The APP ART,,THEAPP-431,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 18:45,Done ,23.04.2021 10:10,0,123758,0,103164,0,0,0,806674,Done 
The APP ART,,THEAPP-430,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 18:45,Done ,23.04.2021 10:11,0,123758,0,103166,0,0,0,806673,Done 
The APP ART,,THEAPP-429,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 19:22,Won't Do ,29.09.2021 14:55,0,123794,0,0,332373,0,0,577430,Won't Do 
The APP ART,,THEAPP-428,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 19:21,Duplicate ,10.02.2021 19:21,0,123794,0,0,0,0,0,909803,Duplicate 
The APP ART,,THEAPP-427,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 19:15,Duplicate ,10.02.2021 19:15,0,123788,0,0,0,0,0,909809,Duplicate 
The APP ART,,THEAPP-426,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 19:10,Done ,10.02.2021 19:10,0,123783,0,0,0,0,0,909814,Done 
The APP ART,,THEAPP-425,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 19:11,Done ,11.06.2021 16:27,0,123783,0,174076,0,0,0,735737,Done 
The APP ART,,THEAPP-424,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 18:46,Declined ,10.02.2021 18:46,0,123758,0,0,0,0,0,909839,Declined 
The APP ART,,THEAPP-423,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 19:11,Not Required ,23.04.2021 10:14,0,123784,0,103143,0,0,0,806670,Not Required 
The APP ART,,THEAPP-422,Feature,E2E Test,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 19:10, ,,0,123782,0,905685,4129,0,0,0, 
The APP ART,,THEAPP-421,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 18:26,Duplicate ,10.02.2021 18:26,0,123739,0,0,0,0,0,909858,Duplicate 
The APP ART,,THEAPP-420,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 18:45,Done ,23.04.2021 10:09,0,123758,0,103164,0,0,0,806675,Done 
The APP ART,,THEAPP-419,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 18:45,Won't Do ,10.02.2021 18:45,0,123758,0,0,0,0,0,909839,Won't Do 
The APP ART,,THEAPP-418,Feature,Done,16.11.2020 20:07,App ART Funnel|Griffin|Lebowski|P&S|Release 4.0|Skywalker|,,10.02.2021 19:13,Not Required ,24.08.2022 14:36,122396,289531,190268,199578,128132,0,0,103689,Not Required 
The APP ART,,THEAPP-417,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 18:46,Done ,11.06.2021 16:25,0,123759,0,174098,0,0,0,735739,Done 
The APP ART,,THEAPP-416,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 19:09,Done ,11.06.2021 16:26,0,123782,0,174076,0,0,0,735739,Done 
The APP ART,,THEAPP-415,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 18:47,Duplicate ,10.02.2021 18:47,0,123760,0,0,0,0,0,909838,Duplicate 
The APP ART,,THEAPP-414,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 19:23,Duplicate ,10.02.2021 19:23,0,123795,0,0,0,0,0,909802,Duplicate 
The APP ART,,THEAPP-413,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,16.06.2021 16:02,Duplicate ,16.06.2021 16:02,0,305035,0,0,0,0,0,728562,Duplicate 
The APP ART,,THEAPP-412,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,16.06.2021 16:04,Duplicate ,16.06.2021 16:04,0,305036,0,0,0,0,0,728561,Duplicate 
The APP ART,,THEAPP-410,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 18:45,Done ,23.04.2021 10:12,0,123758,0,103166,0,0,0,806673,Done 
The APP ART,,THEAPP-409,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 19:13,Done ,11.06.2021 16:32,0,123786,0,174078,0,0,0,735733,Done 
The APP ART,,THEAPP-408,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 19:11,Done ,23.04.2021 10:13,0,123784,0,103141,0,0,0,806672,Done 
