Project,Group,Key,Issuetype,Status,Created Date,Component,Category,First Date,Closed Date,New,In Specification,Open,In Progress,In Review,Pending,Resolved,Closed,Resolution 
Group Finance Backbone,,GFBB-9004,Story,New,11.02.2021 14:36:59,,,,,1170583,0,0,0,0,0,0, 
Group Finance Backbone,,GFBB-9003,Story,Resolved,11.02.2021 14:36:30,,,12.07.2021 09:49:25,26.09.2022 16:23:25,217152,0,635434,0,0,0,317997,0,Won't Do 
Group Finance Backbone,,GFBB-9000,Story,New,11.02.2021 14:34:57,,,,,1170585,0,0,0,0,0,0, 
Group Finance Backbone,,GFBB-8999,Story,New,11.02.2021 14:34:23,,,,,1170586,0,0,0,0,0,0, 
Group Finance Backbone,,GFBB-8998,Story,New,11.02.2021 14:33:54,,,,,1170586,0,0,0,0,0,0, 
Group Finance Backbone,,GFBB-8997,Story,New,11.02.2021 14:33:26,,,,,1170587,0,0,0,0,0,0, 
Group Finance Backbone,,GFBB-8996,Story,New,11.02.2021 14:32:59,,,,,1170587,0,0,0,0,0,0, 
Group Finance Backbone,,GFBB-8992,Story,Resolved,11.02.2021 14:30:28,,,11.10.2022 15:55:29,11.10.2022 15:55:29,874165,0,0,0,0,0,296425,0,Won't Do 
Group Finance Backbone,,GFBB-8990,Story,New,11.02.2021 14:29:13,,,,,1170591,0,0,0,0,0,0, 
Group Finance Backbone,,GFBB-8988,Story,Resolved,11.02.2021 14:28:06,,,11.10.2022 15:54:37,11.10.2022 15:54:37,874166,0,0,0,0,0,296426,0,Won't Do 
Group Finance Backbone,,GFBB-8987,Story,Resolved,11.02.2021 14:27:30,,,11.10.2022 15:54:00,11.10.2022 15:54:00,874166,0,0,0,0,0,296426,0,Won't Do 
Group Finance Backbone,,GFBB-8986,Story,Resolved,11.02.2021 14:26:59,,,11.10.2022 15:53:34,11.10.2022 15:53:34,874166,0,0,0,0,0,296427,0,Won't Do 
Group Finance Backbone,,GFBB-8985,Story,Resolved,11.02.2021 14:26:27,,,11.10.2022 15:53:19,11.10.2022 15:53:19,874166,0,0,0,0,0,296427,0,Won't Do 
Group Finance Backbone,,GFBB-8984,Story,Resolved,11.02.2021 14:25:52,,,11.10.2022 15:53:00,11.10.2022 15:53:00,874167,0,0,0,0,0,296427,0,Won't Do 
Group Finance Backbone,,GFBB-8983,Story,Resolved,11.02.2021 14:25:14,,,11.10.2022 15:52:38,11.10.2022 15:52:38,874167,0,0,0,0,0,296428,0,Won't Do 
Group Finance Backbone,,GFBB-8982,Story,Resolved,11.02.2021 14:24:39,,,11.10.2022 15:52:26,11.10.2022 15:52:26,874167,0,0,0,0,0,296428,0,Won't Do 
Group Finance Backbone,,GFBB-8981,Story,Resolved,11.02.2021 14:24:07,,,11.10.2022 15:52:14,11.10.2022 15:52:14,874168,0,0,0,0,0,296428,0,Won't Do 
Group Finance Backbone,,GFBB-8980,Story,Resolved,11.02.2021 14:23:29,,,11.10.2022 15:52:01,11.10.2022 15:52:01,874168,0,0,0,0,0,296428,0,Won't Do 
Group Finance Backbone,,GFBB-8978,Story,New,11.02.2021 14:21:57,,,,,1170598,0,0,0,0,0,0, 
Group Finance Backbone,,GFBB-8977,Story,Resolved,11.02.2021 14:21:28,,,11.10.2022 15:51:43,11.10.2022 15:51:43,874170,0,0,0,0,0,296429,0,Won't Do 
Group Finance Backbone,,GFBB-8974,Story,New,11.02.2021 14:19:42,,,,,1170601,0,0,0,0,0,0, 
Group Finance Backbone,,GFBB-8973,Story,New,11.02.2021 14:19:08,,,,,1170601,0,0,0,0,0,0, 
Group Finance Backbone,,GFBB-8972,Story,New,11.02.2021 14:18:36,,,,,1170602,0,0,0,0,0,0, 
Group Finance Backbone,,GFBB-8970,Story,Resolved,11.02.2021 14:17:21,,,11.10.2022 15:51:18,11.10.2022 15:51:18,874173,0,0,0,0,0,296429,0,Won't Do 
Group Finance Backbone,,GFBB-8969,Story,New,11.02.2021 14:16:41,,,,,1170604,0,0,0,0,0,0, 
Group Finance Backbone,,GFBB-8968,Story,Resolved,11.02.2021 14:16:10,,,11.10.2022 15:51:00,11.10.2022 15:51:00,874174,0,0,0,0,0,296429,0,Won't Do 
Group Finance Backbone,,GFBB-8966,Story,Resolved,11.02.2021 14:13:44,,,11.10.2022 15:50:40,11.10.2022 15:50:40,874176,0,0,0,0,0,296430,0,Won't Do 
Group Finance Backbone,,GFBB-8965,Story,New,11.02.2021 14:13:02,,,,,1170607,0,0,0,0,0,0, 
Group Finance Backbone,,GFBB-8964,Story,New,11.02.2021 14:11:53,,,,,1170608,0,0,0,0,0,0, 
Group Finance Backbone,,GFBB-8963,Story,Resolved,11.02.2021 14:10:41,,,11.10.2022 15:50:17,11.10.2022 15:50:17,874179,0,0,0,0,0,296430,0,Won't Do 
Group Finance Backbone,,GFBB-8962,Story,Resolved,11.02.2021 14:09:30,,,11.10.2022 15:45:03,11.10.2022 15:45:03,874175,0,0,0,0,0,296435,0,Won't Do 
Group Finance Backbone,,GFBB-8961,Story,Resolved,11.02.2021 14:08:57,,,11.10.2022 15:44:46,11.10.2022 15:44:46,874175,0,0,0,0,0,296436,0,Won't Do 
Group Finance Backbone,,GFBB-8960,Story,Resolved,11.02.2021 14:08:19,,,11.10.2022 15:44:28,11.10.2022 15:44:28,874176,0,0,0,0,0,296436,0,Won't Do 
Group Finance Backbone,,GFBB-8959,Story,Resolved,11.02.2021 14:07:36,,,11.10.2022 15:43:56,11.10.2022 15:43:56,874176,0,0,0,0,0,296436,0,Won't Do 
Group Finance Backbone,,GFBB-8958,Story,Resolved,11.02.2021 14:06:41,,,11.10.2022 15:43:34,11.10.2022 15:43:34,874176,0,0,0,0,0,296437,0,Won't Do 
Group Finance Backbone,,GFBB-8957,Story,Resolved,11.02.2021 14:05:54,,,11.10.2022 15:43:12,11.10.2022 15:43:12,874177,0,0,0,0,0,296437,0,Won't Do 
Group Finance Backbone,,GFBB-8880,Story,In Progress,08.02.2021 14:10:19,,,26.04.2021 15:21:38,,110951,0,806095,257884,0,0,0,0, 
Group Finance Backbone,,GFBB-8743,Story,Resolved,01.02.2021 10:14:05,,,16.02.2021 08:51:49,28.11.2022 17:52:52,21517,0,80787,66718,0,789033,227187,0,Done 
Group Finance Backbone,,GFBB-8588,Story,Closed,22.01.2021 10:55:50,,,22.01.2021 12:39:16,26.03.2021 10:07:15,103,0,80477,0,0,0,10090,1108933,Duplicate 
Group Finance Backbone,,GFBB-7922,Epic,In Review,25.11.2020 10:33:10,,,05.03.2021 13:07:42,,144154,132155,371534,25122,610180,0,0,0, 
